,Source,Title,Description,Published At
88,"{'id': 'espn', 'name': 'ESPN'}","SGA stays hot with 52, 'not satisfied' as OKC falls","One week after scoring 54 points in a win, Shai Gilgeous-Alexander poured in 52 in a losing effort Wednesday night against the Warriors.",2025-01-30T08:21:02Z
89,"{'id': None, 'name': 'The Denver Post'}","Grading The Week: Should Nuggets keep starting Russell Westbrook when Nikola Jokic, Aaron Gordon return?",Team Grading The Week has a New Year's resolution this month we think everybody can get behind: More Russell Westbrook.,2025-01-11T12:45:48Z
90,"{'id': None, 'name': 'New York Post'}",Knicks’ Karl-Anthony Towns is ready for his latest Nikola Jokic test,"After taking apart two of the hottest teams in the Western Conference, next up for the surging Knicks will be welcoming the challenge of the reigning league MVP. Nuggets center Nikola Jokic, who has earned that award in three of the previous four years, is en…",2025-01-29T02:21:55Z
91,"{'id': 'usa-today', 'name': 'USA Today'}",Jamal Murray claimed he didn’t know about Shaq’s pregame challenge after monster 45-point game,Jamal Murray conveniently erupted against the Mavericks after Shaq called him out.,2025-01-15T16:43:59Z
92,"{'id': None, 'name': 'CBS Sports'}",Bradley Beal trade destinations: Which teams still make sense for Suns star as they seek Jimmy Butler deal,The highly paid Beal isn't quite the albatross he's made out to be,2025-01-23T15:46:18Z
93,"{'id': None, 'name': 'The Denver Post'}",Russell Westbrook on playing through wildfires back home in Los Angeles: “It’s hard for me to sleep”,"Los Angeles native Russell Westbrook is playing through a week of environmental and emotional turmoil back in his hometown, where wildfires have raged this week.",2025-01-09T16:43:52Z
94,"{'id': None, 'name': 'Yahoo Entertainment'}",Fact or Fiction: The Phoenix Suns have nowhere to go but up,Is there any hope in the Valley of the Sun?,2025-01-03T14:44:13Z
95,"{'id': 'usa-today', 'name': 'USA Today'}","Clippers vs. Nuggets: How to watch online, live stream info, game time, TV channel | January 8","Nikola Jokic and the Los Angeles Clippers will duke it out when the Denver Nuggets (20-15) meet the Clippers (20-16) at Ball Arena on Wednesday, January 8 at 9:00 PM ET.The Clippers fell in their m…",2025-01-08T14:59:00Z
96,"{'id': 'usa-today', 'name': 'USA Today'}","Nuggets vs. Mavericks: How to watch online, live stream info, game time, TV channel | January 14","The Denver Nuggets and Kyrie Irving will clash when the Nuggets (23-15) play the Dallas Mavericks (22-17) at American Airlines Center on Tuesday, January 14 at 9:30 PM ET.Last time out, the Nuggets…",2025-01-14T14:59:00Z
97,"{'id': 'espn', 'name': 'ESPN'}","Risers and fallers: Kel'el Ware, Aaron Gordon among those on the move","Steve Alexander highlights five names trending upwards and four downwards, with key takeaways for each.",2025-01-24T19:32:59Z
98,"{'id': 'espn', 'name': 'ESPN'}","Biggest looming free agents for all 32 teams: What's next for Tee Higgins, Khalil Mack and Sam Darnold?",NFL free agency starts on March 12. What does the future look like for these 32 soon-to-be free agents?,2025-01-29T12:03:48Z
99,"{'id': None, 'name': 'Los Angeles Times'}",Clippers guard Norman Powell continues to grind at All-Star level,"Given the opportunity to become a starter, the 6-foot-4 guard of 10 seasons has helped the Clippers to fifth place in the West with a breakout effort.",2025-01-19T12:30:11Z
